datetime,ip,name,ifIndex,status
2025-06-23 15:12:14,103.245.16.237,Router-AS Ether2-Quantum,92,1,snmp
2025-06-23 15:12:14,11.6.1.2,Router-AS Ether10,161,1,snmp
2025-06-23 15:12:14,131.131.7.2,Router-AS V-575-DRCB,251,1,snmp
2025-06-23 15:12:14,170.6.6.2,Router-AS VLAN13,181,1,snmp
2025-06-23 15:12:14,174.24.25.2,Router-AS VLAN544,191,1,snmp
2025-06-23 15:12:14,192.168.200.200,Router-AS Indihome,231,1,snmp
2025-06-23 15:12:14,192.168.221.253,Router-AS V-221LOKAL,241,1,snmp
2025-06-23 15:12:14,37.37.1.1,Router-AS VLAN-331,221,1,snmp
2025-06-23 15:12:14,79.2.1.2,Router-AS VLAN581,201,1,snmp
2025-06-23 15:12:14,80.5.1.1,Router-AS VLAN-801,1,1,snmp
2025-06-23 15:12:14,8.8.8.8,Google DNS (Test),1,0,ping
2025-06-23 15:12:17,10.50.50.1,Router-AS ether9,151,1,snmp
2025-06-23 15:12:17,10.51.1.2,Router-AS L2TP-AWS,131,1,snmp
2025-06-23 15:12:17,101.255.56.242,Router-AS Bridge-Publik,171,1,snmp
2025-06-23 15:12:17,103.245.16.237,Router-AS Ether2-Quantum,92,1,snmp
2025-06-23 15:12:17,11.6.1.2,Router-AS Ether10,161,1,snmp
2025-06-23 15:12:17,131.131.7.2,Router-AS V-575-DRCB,251,1,snmp
2025-06-23 15:12:17,170.6.6.2,Router-AS VLAN13,181,1,snmp
2025-06-23 15:12:17,174.24.25.2,Router-AS VLAN544,191,1,snmp
2025-06-23 15:12:17,192.168.200.200,Router-AS Indihome,231,1,snmp
2025-06-23 15:12:17,192.168.221.253,Router-AS V-221LOKAL,241,1,snmp
2025-06-23 15:12:17,37.37.1.1,Router-AS VLAN-331,221,1,snmp
2025-06-23 15:12:17,79.2.1.2,Router-AS VLAN581,201,1,snmp
2025-06-23 15:12:17,80.5.1.1,Router-AS VLAN-801,1,1,snmp
2025-06-23 15:12:17,8.8.8.8,Google DNS (Test),1,0,ping
2025-06-23 15:12:18,10.50.50.1,Router-AS ether9,151,1,snmp
2025-06-23 15:12:18,10.51.1.2,Router-AS L2TP-AWS,131,1,snmp
2025-06-23 15:12:18,101.255.56.242,Router-AS Bridge-Publik,171,1,snmp
2025-06-23 15:12:18,103.245.16.237,Router-AS Ether2-Quantum,92,1,snmp
2025-06-23 15:12:18,11.6.1.2,Router-AS Ether10,161,1,snmp
2025-06-23 15:12:18,131.131.7.2,Router-AS V-575-DRCB,251,1,snmp
2025-06-23 15:12:18,170.6.6.2,Router-AS VLAN13,181,1,snmp
2025-06-23 15:12:18,174.24.25.2,Router-AS VLAN544,191,1,snmp
2025-06-23 15:12:18,192.168.200.200,Router-AS Indihome,231,1,snmp
2025-06-23 15:12:18,192.168.221.253,Router-AS V-221LOKAL,241,1,snmp
2025-06-23 15:12:18,37.37.1.1,Router-AS VLAN-331,221,1,snmp
2025-06-23 15:12:18,79.2.1.2,Router-AS VLAN581,201,1,snmp
2025-06-23 15:12:18,80.5.1.1,Router-AS VLAN-801,1,1,snmp
2025-06-23 15:12:18,8.8.8.8,Google DNS (Test),1,0,ping
2025-06-23 15:12:19,10.50.50.1,Router-AS ether9,151,1,snmp
2025-06-23 15:12:19,10.51.1.2,Router-AS L2TP-AWS,131,1,snmp
2025-06-23 15:12:19,101.255.56.242,Router-AS Bridge-Publik,171,1,snmp
2025-06-23 15:12:19,103.245.16.237,Router-AS Ether2-Quantum,92,1,snmp
2025-06-23 15:12:19,11.6.1.2,Router-AS Ether10,161,1,snmp
2025-06-23 15:12:19,131.131.7.2,Router-AS V-575-DRCB,251,1,snmp
2025-06-23 15:12:19,170.6.6.2,Router-AS VLAN13,181,1,snmp
2025-06-23 15:12:19,174.24.25.2,Router-AS VLAN544,191,1,snmp
